,numLikes,numShares,numComments,total_engagement,engagement_score,text_length,word_count,line_count,hashtag_count,url_count,emoji_count,num_images,comment_to_like_ratio,share_to_like_ratio,authorFollowersCount
numLikes,1.0,0.7236091304480018,0.42989883547380203,0.9923003260830324,0.9728163185201233,0.13821047636418157,0.13898290463511204,0.1187586970387085,0.024027712701638653,0.032044850406939905,-0.024461426108366546,0.041264028309220886,-0.019551979028629075,0.00018112901867971647,0.14075878403861952
numShares,0.7236091304480018,1.0,0.3035878522328919,0.7554483550890015,0.7986896864714219,0.11039627415426566,0.1021448409288709,0.09522220802827114,-0.016774616195914055,0.09666473151280115,0.005841667306372488,0.010003794170927128,-0.007133053991845702,0.15118235704896227,0.13190957589425217
numComments,0.42989883547380203,0.3035878522328919,1.0,0.5265423005816686,0.5850990682245061,0.13979311720566945,0.14293985905758494,0.1233742016094516,0.04426177762855971,0.009671213909832888,-0.003913490689641296,0.01605663736540304,0.19930399124051193,0.005348632936835738,0.179940688482603
total_engagement,0.9923003260830324,0.7554483550890015,0.5265423005816686,1.0,0.9935365629545969,0.14789679921344942,0.14830151554278737,0.12751257640557156,0.025279442381350402,0.0372044026785217,-0.021564219635792272,0.03914100015423103,0.006784771273129607,0.012984910212926975,0.14438033654833532
engagement_score,0.9728163185201233,0.7986896864714219,0.5850990682245061,0.9935365629545969,1.0,0.15315696873150922,0.15270890771835383,0.13234756120981037,0.02347882720175811,0.045178522390384335,-0.01767368384664177,0.03578112921377558,0.02530596524005074,0.03179884012250198,0.14699187485337706
text_length,0.13821047636418157,0.11039627415426566,0.13979311720566945,0.14789679921344942,0.15315696873150922,1.0,0.9910816933252278,0.7731239507996048,0.185020453269563,0.1867852316239215,0.21767651279587094,0.09710417537485914,0.10254293192842724,0.12955281863643342,-0.024782394003119535
word_count,0.13898290463511204,0.1021448409288709,0.14293985905758494,0.14830151554278737,0.15270890771835383,0.9910816933252278,1.0,0.7601891503306325,0.18280598535764847,0.1093237907935521,0.20693202494031365,0.09096114493029786,0.1126628954869461,0.10022882924192633,-0.02462794247248352
line_count,0.1187586970387085,0.09522220802827114,0.1233742016094516,0.12751257640557156,0.13234756120981037,0.7731239507996048,0.7601891503306325,1.0,0.29700346031359326,0.375023242182319,0.3001535595472857,0.07448222344534997,0.13586008926983775,0.15710583778058468,-0.03843115181454661
hashtag_count,0.024027712701638653,-0.016774616195914055,0.04426177762855971,0.025279442381350402,0.02347882720175811,0.185020453269563,0.18280598535764847,0.29700346031359326,1.0,-0.0301255335552473,0.15683447108734633,0.009090634855665294,0.04534388529215237,0.05816760897834993,-0.06500714253564165
url_count,0.032044850406939905,0.09666473151280115,0.009671213909832888,0.0372044026785217,0.045178522390384335,0.1867852316239215,0.1093237907935521,0.375023242182319,-0.0301255335552473,1.0,0.14969567425090075,0.03512133546959053,-0.017160790245032528,0.21584389062749107,0.13304370864976245
emoji_count,-0.024461426108366546,0.005841667306372488,-0.003913490689641296,-0.021564219635792272,-0.01767368384664177,0.21767651279587094,0.20693202494031365,0.3001535595472857,0.15683447108734633,0.14969567425090075,1.0,0.06068381081766773,0.011020394939032441,0.13471279917847012,-0.010783885694141272
num_images,0.041264028309220886,0.010003794170927128,0.01605663736540304,0.03914100015423103,0.03578112921377558,0.09710417537485914,0.09096114493029786,0.07448222344534997,0.009090634855665294,0.03512133546959053,0.06068381081766773,1.0,-0.04494320391645624,-0.013850152289499268,-0.03759016849966134
comment_to_like_ratio,-0.019551979028629075,-0.007133053991845702,0.19930399124051193,0.006784771273129607,0.02530596524005074,0.10254293192842724,0.1126628954869461,0.13586008926983775,0.04534388529215237,-0.017160790245032528,0.011020394939032441,-0.04494320391645624,1.0,0.013021409048677624,0.02855363878032522
share_to_like_ratio,0.00018112901867971647,0.15118235704896227,0.005348632936835738,0.012984910212926975,0.03179884012250198,0.12955281863643342,0.10022882924192633,0.15710583778058468,0.05816760897834993,0.21584389062749107,0.13471279917847012,-0.013850152289499268,0.013021409048677624,1.0,-0.08272790694867127
authorFollowersCount,0.14075878403861952,0.13190957589425217,0.179940688482603,0.14438033654833532,0.14699187485337706,-0.024782394003119535,-0.02462794247248352,-0.03843115181454661,-0.06500714253564165,0.13304370864976245,-0.010783885694141272,-0.03759016849966134,0.02855363878032522,-0.08272790694867127,1.0
