length_bin,avg_engagement,median_engagement,post_count,avg_likes,avg_shares,avg_comments
0-200,122.41,38.0,2049,110.68,3.73,7.99
200-400,285.1,89.0,2586,255.38,7.86,21.86
400-600,302.34,109.5,1592,269.61,11.58,21.14
600-800,399.58,130.0,1200,353.89,17.68,28.0
800-1000,290.23,133.0,962,252.49,13.18,24.57
1000-1200,341.46,182.0,749,296.31,15.7,29.46
1200-1400,426.58,191.0,561,369.52,20.75,36.31
1400-1600,687.94,250.0,379,580.27,47.75,59.92
1600-1800,611.96,230.5,290,528.15,25.75,58.05
1800-2000,447.8,208.5,232,374.07,23.07,50.66
2000-2200,587.95,266.0,175,495.7,26.32,65.94
2200-2400,702.93,336.5,126,603.64,38.99,60.29
2400-2600,680.81,388.0,93,588.11,23.66,69.04
2600-2800,744.04,328.0,77,620.74,41.4,81.9
2800-3000,649.43,358.5,142,546.62,24.34,78.47
