Feature,Coefficient
word_count,217.41958981885875
text_length,-104.09215113025523
content_Reshare,-86.24263357755235
content_Image,62.46760146670477
has_emoji,-57.56122953939402
has_hashtag,-55.43712510950245
has_question,-46.376003002538354
hashtag_count,42.21302483224488
has_url,41.23612807146066
content_Video,38.88728622592902
is_weekend,34.72261105974094
content_Article,-34.19208892877664
num_images,-27.662466913840696
content_Text Only,15.626914580365188
content_Document,-9.900471755535895
url_count,9.022759314762343
content_Poll,-8.860955671553226
content_Event,-4.248109608307568
content_Unknown,-2.9185103316124037
