authorName,Total_Engagement,Total_Likes,Total_Shares,Total_Comments,Post_Count,Followers,Avg_Engagement_Per_Post
Deedy Das,382681,359788,7058,15835,568,,673.73
Harry Stebbings,262668,232541,3673,26454,346,,759.16
Reid Hoffman,144676,119759,7670,17247,258,,560.76
Jordan Mazer,131120,108899,9173,13048,358,,366.26
Anthropic,122807,110165,7842,4800,30,1706931.0,4093.57
Andreessen Horowitz,92458,83313,5987,3158,61,601753.0,1515.7
Mistral AI,73665,68936,2912,1817,15,530699.0,4911.0
Itamar Novick,71345,53994,2015,15336,263,,271.27
Andrew Chen,61989,50560,3174,8255,125,,495.91
Sri Kosuri,52240,41370,8470,2400,2,,26120.0
Arif Janmohamed,51522,43071,2143,6308,63,,817.81
Jonathan Lai,38271,31976,999,5296,104,,367.99
Tim Draper,36598,31185,1278,4135,208,,175.95
Olivia Moore,35374,31066,1964,2344,31,,1141.1
Aravind Srinivas,31914,29533,1002,1379,3,,10638.0
Lovable,26734,23708,1322,1704,4,307139.0,6683.5
Daniel Han,25412,23204,1270,938,16,,1588.25
Mati Staniszewski,23874,22333,519,1022,24,,994.75
Katia Ameri,19951,15591,1971,2389,24,,831.29
David Haber,19856,18078,721,1057,62,,320.26
