Hashtag,Count,Avg_Engagement,Median_Engagement,Avg_Likes,Avg_Shares,Avg_Comments
#funding,366,759.64,504.0,672.19,10.71,76.74
#entrepreneur,335,755.16,501.0,668.33,10.67,76.16
#investing,335,754.4,501.0,667.57,10.66,76.17
#business,336,753.01,501.0,666.27,10.63,76.1
#founder,339,750.29,501.0,663.63,10.68,75.98
#startup,358,732.14,484.5,644.37,11.64,76.13
#vc,386,679.28,429.0,600.34,10.01,68.93
#venturecapital,430,668.37,406.0,583.54,11.4,73.43
#seed,39,598.79,393.0,531.15,18.92,48.72
#2,34,532.64,263.0,477.71,13.75,41.18
#1,121,420.51,224.0,376.81,11.11,32.59
#startupadvice,38,333.11,187.5,249.55,8.79,74.76
#entrepreneurship,31,307.13,148.5,264.87,11.73,30.53
#artificialintelligence,26,278.42,93.0,236.35,22.12,19.96
#leadership,42,255.86,89.5,212.74,4.93,38.19
#cybersecurity,58,234.8,155.0,187.96,14.0,32.84
#innovation,91,225.44,91.0,195.13,7.55,22.75
#investment,85,218.68,151.0,184.56,6.38,27.74
#20vc,77,216.27,151.0,180.79,6.42,29.06
#ai,343,195.46,75.0,163.61,8.47,23.38
#fintech,38,193.81,112.0,170.51,9.59,13.7
#cybersparx,31,191.88,147.0,178.92,6.8,6.16
#hiring,57,170.96,87.0,136.75,10.04,24.18
#healthcare,47,166.94,81.0,134.51,12.7,19.72
#startups,95,149.07,70.0,124.54,5.96,18.58
#founders,56,106.0,52.0,83.46,4.77,17.77
#futureofwork,97,100.11,50.0,83.19,7.02,9.91
#healthtech,40,99.78,52.0,81.12,8.38,10.28
#healthcareinnovation,25,75.56,56.0,68.24,4.0,3.32
#fundraising,24,71.29,20.5,45.29,1.08,24.92
